Unit,Date,Dacoity,Robbery,Murder,Speedy Trial,Riot,Woman & Child Repression,Kidnapping,Police Assault,Burglary,Theft,Arms Act,Explosive Act,Narcotics,Smuggling
Dmp,2023-07-31,6,12,19,33,2,134,2,12,48,103,5,10,1143,9
Dmp,2023-08-31,1,13,10,18,0,157,8,9,53,153,3,0,1184,14
Dmp,2023-09-30,0,20,12,9,2,141,3,5,53,124,5,5,1141,16
Dmp,2023-10-31,3,20,19,8,7,128,6,11,38,136,6,17,844,13
Dmp,2023-11-30,2,14,17,19,5,118,2,5,56,121,2,26,661,11
Dmp,2023-12-31,4,23,4,16,0,103,10,5,42,130,3,19,951,13
Dmp,2024-01-31,1,25,11,18,0,110,8,5,63,141,5,6,865,9
Dmp,2024-02-29,2,26,4,21,0,114,9,4,51,134,5,1,800,22
Dmp,2024-03-31,0,28,18,28,0,127,7,2,53,163,8,1,835,22
Dmp,2024-04-30,3,15,14,24,0,149,4,4,69,140,4,2,623,6
Dmp,2024-05-31,2,19,16,23,0,172,7,10,65,194,2,5,738,19
Dmp,2024-06-30,3,16,13,26,0,147,3,1,80,191,4,1,568,7
Dmp,2024-07-31,3,15,59,16,46,109,1,44,32,134,7,26,415,8
Dmp,2024-08-31,4,4,119,10,4,51,11,2,15,43,2,0,79,5
Dmp,2024-09-30,5,14,28,8,12,110,22,3,33,75,11,0,176,11
Dmp,2024-10-31,6,20,20,23,2,125,26,6,47,97,15,0,358,13
Dmp,2024-11-30,2,27,13,15,10,115,17,6,39,125,6,0,421,12
Dmp,2024-12-31,9,39,24,19,9,131,17,8,60,131,9,9,529,7
Dmp,2025-01-31,8,54,36,24,7,127,31,10,60,146,12,5,583,9
Dmp,2025-02-28,6,46,38,18,9,142,18,7,36,117,8,1,474,8
Dmp,2025-03-31,3,38,33,12,15,162,19,23,43,137,20,2,538,10
Dmp,2025-04-30,7,37,29,12,1,191,19,7,48,118,5,6,503,24
Dmp,2025-05-31,5,40,32,12,6,183,25,9,50,128,44,2,546,21
Dmp,2025-06-30,4,32,49,8,4,168,20,6,55,90,45,4,505,10
Gmp,2019-01-31,2,3,3,1,0,22,1,2,2,8,3,0,130,2
Gmp,2019-02-28,0,4,3,0,0,16,0,0,0,6,10,0,175,3
Gmp,2019-03-31,1,3,7,1,0,22,2,0,0,15,17,0,216,5
Gmp,2019-04-30,0,0,7,0,0,24,1,2,2,16,8,0,167,3
Gmp,2019-05-31,0,5,5,0,0,31,3,3,4,19,5,0,128,1
Gmp,2019-06-30,0,4,5,3,0,25,5,0,1,12,3,0,211,5
Gmp,2019-07-31,2,3,8,0,0,36,2,3,2,13,3,0,243,1
Gmp,2019-08-31,0,3,7,0,0,35,1,0,0,11,7,1,218,3
Gmp,2019-09-30,1,2,5,0,0,49,4,1,0,13,4,0,215,0
Gmp,2019-10-31,2,6,4,2,0,37,0,0,1,15,5,1,203,2
Gmp,2019-11-30,0,2,6,0,0,39,3,0,3,11,7,0,155,2
Gmp,2019-12-31,3,3,5,0,0,36,3,0,2,13,1,0,212,1
Gmp,2020-01-31,0,4,4,0,0,33,1,0,0,11,2,0,192,0
Gmp,2020-02-29,0,2,3,1,0,48,3,1,2,14,6,0,165,1
Gmp,2020-03-31,3,3,5,1,0,42,4,3,3,13,2,0,125,0
Gmp,2020-04-30,0,1,3,1,0,11,0,0,2,7,1,0,22,1
Gmp,2020-05-31,1,5,8,2,0,11,2,1,2,9,3,0,34,0
Gmp,2020-06-30,3,1,7,6,0,38,2,1,3,11,3,0,45,0
Gmp,2020-07-31,2,1,5,2,0,38,2,1,3,8,4,0,136,0
Gmp,2020-08-31,0,1,6,3,0,57,5,0,5,16,2,0,118,0
Gmp,2020-09-30,1,3,5,3,0,58,4,0,7,15,1,1,93,3
Gmp,2020-10-31,1,5,7,2,0,55,0,0,8,75,0,72,1,75
Gmp,2020-11-30,1,2,3,0,0,41,6,0,4,8,0,0,76,0
Gmp,2020-12-31,1,1,10,1,0,24,13,2,8,7,0,0,110,1
Gmp,2021-01-31,0,6,2,3,0,28,5,0,7,8,5,0,100,0
Gmp,2021-02-28,3,3,8,3,0,32,4,0,4,16,2,1,72,0
Gmp,2021-03-31,0,3,4,4,0,47,2,4,5,11,5,0,123,0
Gmp,2021-04-30,0,2,4,2,0,53,2,2,1,12,2,0,62,0
Gmp,2021-05-31,0,3,6,2,0,37,3,3,2,15,1,0,70,0
Gmp,2021-06-30,1,1,3,3,0,41,1,0,2,12,4,0,96,0
Gmp,2021-07-31,1,1,10,2,0,30,3,0,3,18,1,0,77,0
Gmp,2021-08-31,1,3,1,0,0,34,2,1,6,11,1,0,108,0
Gmp,2021-09-30,2,1,6,1,0,34,3,1,2,12,4,0,100,0
Gmp,2021-10-31,1,0,4,5,0,38,4,0,0,17,2,0,109,0
Gmp,2021-11-30,2,3,5,5,0,36,4,0,4,10,1,0,86,0
Gmp,2021-12-31,1,3,5,1,0,21,0,0,2,9,0,0,75,0
Gmp,2022-01-31,0,3,4,2,0,28,3,0,1,6,0,1,87,0
Gmp,2022-02-28,6,2,1,3,0,23,4,0,0,12,1,0,84,0
Gmp,2022-03-31,4,1,10,3,0,53,1,1,2,15,2,0,85,1
Gmp,2022-04-30,1,7,2,4,0,40,1,1,2,14,0,0,70,0
Gmp,2022-05-31,3,1,3,0,0,31,3,0,5,15,1,0,79,0
Gmp,2022-06-30,1,4,3,1,0,47,3,1,1,13,1,0,68,0
Gmp,2022-07-31,2,4,8,3,0,40,1,0,1,3,3,0,58,0
Gmp,2022-08-31,1,3,6,0,0,28,1,1,5,10,6,1,98,0
Gmp,2022-09-30,3,1,3,4,0,35,1,2,4,12,4,1,88,0
Gmp,2022-10-31,0,2,6,1,0,39,6,3,2,19,1,0,88,2
Gmp,2022-11-30,1,2,5,2,0,33,5,6,2,11,4,1,116,2
Gmp,2022-12-31,1,1,6,2,0,27,2,1,0,10,1,3,83,1
Gmp,2023-01-31,1,2,4,4,0,26,2,3,1,6,1,1,78,0
Gmp,2023-02-28,2,7,4,4,0,32,1,2,3,13,0,1,96,2
Gmp,2023-03-31,2,1,8,3,0,23,3,3,0,4,0,1,85,2
Gmp,2023-04-30,1,5,7,0,0,21,2,1,0,9,1,1,76,0
Gmp,2023-05-31,0,2,9,0,0,17,0,0,3,4,0,0,61,0
Gmp,2023-06-30,1,3,10,0,0,22,3,1,2,7,1,0,81,1
Gmp,2023-07-31,2,6,14,0,0,26,6,0,4,12,2,0,86,0
Gmp,2023-08-31,2,7,7,0,0,40,2,1,4,19,2,0,113,3
Gmp,2023-09-30,0,3,11,0,0,27,5,3,3,9,1,0,103,1
Gmp,2023-10-31,1,2,9,2,0,26,5,2,3,13,0,0,118,2
Gmp,2023-11-30,0,2,4,0,0,22,2,5,4,10,0,10,58,0
Gmp,2023-12-31,2,4,7,3,0,37,0,1,8,9,0,0,103,0
Gmp,2024-01-31,4,0,11,4,0,22,5,2,5,5,0,1,87,0
Gmp,2024-02-29,1,6,10,0,0,32,1,1,9,8,2,1,105,1
Gmp,2024-03-31,2,5,1,1,0,23,4,0,7,18,0,0,104,2
Gmp,2024-04-30,0,5,5,4,0,30,4,2,12,12,1,0,92,0
Gmp,2024-05-31,4,5,8,0,0,31,2,3,0,0,1,0,124,0
Gmp,2024-06-30,2,8,6,0,0,35,2,0,4,8,0,0,81,1
Gmp,2024-07-31,0,4,7,0,0,33,2,9,3,13,1,5,71,1
Gmp,2024-08-31,3,1,17,0,0,23,0,3,3,4,0,0,14,0
Gmp,2024-09-30,3,3,11,1,0,28,0,2,8,9,0,0,16,0
Gmp,2024-10-31,3,3,7,2,0,21,4,0,3,8,1,2,53,0
Gmp,2024-11-30,0,3,3,0,0,21,6,1,2,15,3,0,85,0
Gmp,2024-12-31,1,2,3,0,0,20,1,1,2,8,1,0,74,1
Gmp,2025-01-31,2,9,5,2,0,25,2,1,7,10,6,0,72,0
Gmp,2025-02-28,1,1,8,0,0,20,6,0,2,12,2,5,59,0
Gmp,2025-03-31,0,1,0,1,0,10,1,0,0,6,2,0,21,0
Gmp,2025-04-30,4,9,8,0,0,33,2,0,4,9,2,1,64,4
Gmp,2025-05-31,1,1,2,0,0,12,0,0,2,7,4,0,93,0
Gmp,2025-06-30,1,5,8,0,0,24,6,3,7,12,1,1,57,0
Khulna Range,2019-01-31,4,4,37,0,0,99,2,2,7,36,13,3,814,20
Khulna Range,2019-02-28,0,2,27,4,0,104,2,1,6,41,26,2,1099,34
Khulna Range,2019-03-31,3,2,40,3,1,125,0,0,13,36,20,5,715,38
Khulna Range,2019-04-30,2,4,35,1,0,161,6,2,15,28,14,0,697,29
Khulna Range,2019-05-31,3,4,36,0,0,171,3,3,11,35,22,4,642,31
Khulna Range,2019-06-30,3,17,32,0,0,196,5,5,20,49,15,2,568,43
Khulna Range,2019-07-31,4,8,39,0,0,213,1,4,17,62,18,5,956,30
Khulna Range,2019-08-31,3,9,37,2,0,174,3,1,19,46,21,5,809,29
Khulna Range,2019-09-30,2,5,25,4,0,203,4,3,25,64,15,0,877,41
Khulna Range,2019-10-31,3,5,21,4,0,175,0,2,22,54,13,3,805,42
Khulna Range,2019-11-30,1,7,28,2,0,169,0,1,19,62,21,4,743,26
Khulna Range,2019-12-31,3,5,24,0,0,153,0,0,18,39,13,2,760,23
Khulna Range,2020-01-31,5,5,26,1,0,140,6,3,21,58,11,2,779,24
Khulna Range,2020-02-29,3,6,17,2,0,168,2,4,19,49,26,2,766,27
Khulna Range,2020-03-31,4,12,32,3,0,195,4,1,17,57,23,1,616,23
Khulna Range,2020-04-30,0,2,29,3,0,127,0,3,9,41,10,0,242,7
Khulna Range,2020-05-31,1,2,36,2,0,131,0,2,8,45,9,1,294,5
Khulna Range,2020-06-30,4,9,32,5,0,188,2,5,19,49,16,2,436,15
Khulna Range,2020-07-31,2,10,29,4,0,215,3,3,24,92,16,0,716,32
Khulna Range,2020-08-31,3,8,29,2,0,212,5,2,15,63,4,1,517,28
Khulna Range,2020-09-30,1,7,25,0,0,187,2,1,24,88,17,5,535,26
Khulna Range,2020-10-31,0,8,31,6,0,242,0,1,24,79,13,0,527,28
Khulna Range,2020-11-30,1,6,24,8,0,193,3,1,17,75,15,1,542,25
Khulna Range,2020-12-31,1,8,24,4,0,137,5,0,15,63,8,2,526,20
Khulna Range,2021-01-31,2,12,19,2,0,157,0,2,16,65,9,2,559,20
Khulna Range,2021-02-28,2,4,27,0,1,151,4,3,21,91,14,0,632,15
Khulna Range,2021-03-31,3,11,24,5,0,196,3,0,23,89,18,0,848,33
Khulna Range,2021-04-30,1,10,25,3,0,200,5,5,13,66,6,4,489,13
Khulna Range,2021-05-31,1,5,32,5,0,177,2,1,10,63,7,2,571,12
Khulna Range,2021-06-30,2,8,23,3,0,196,3,2,19,77,7,1,583,11
Khulna Range,2021-07-31,0,4,28,2,0,129,1,1,23,62,12,1,446,15
Khulna Range,2021-08-31,3,9,26,2,0,184,0,3,19,70,10,0,681,18
Khulna Range,2021-09-30,0,8,27,5,0,194,0,5,22,76,10,2,539,13
Khulna Range,2021-10-31,3,8,17,3,0,170,2,2,24,82,21,4,519,17
Khulna Range,2021-11-30,0,5,29,9,0,123,1,4,6,59,12,4,513,11
Khulna Range,2021-12-31,2,3,24,15,0,138,1,4,12,74,18,2,497,14
Khulna Range,2022-01-31,2,10,29,5,0,131,3,4,18,64,16,3,636,22
Khulna Range,2022-02-28,1,5,23,5,0,120,0,2,13,70,12,4,745,14
Khulna Range,2022-03-31,1,5,28,6,0,160,1,2,12,67,9,4,578,14
Khulna Range,2022-04-30,0,10,31,4,0,154,2,3,11,88,11,2,616,12
Khulna Range,2022-05-31,1,2,27,1,0,184,1,2,16,67,9,2,574,7
Khulna Range,2022-06-30,7,4,23,5,0,184,3,6,14,74,9,1,672,14
Khulna Range,2022-07-31,3,6,24,5,0,180,0,0,18,84,18,1,574,13
Khulna Range,2022-08-31,5,6,21,3,0,168,3,1,26,92,8,5,644,17
Khulna Range,2022-09-30,2,3,22,6,1,202,1,4,21,101,7,3,650,31
Khulna Range,2022-10-31,7,5,22,7,0,168,3,1,21,96,12,8,580,22
Khulna Range,2022-11-30,4,7,23,5,0,163,0,3,21,92,9,5,626,26
Khulna Range,2022-12-31,0,3,18,2,0,118,1,0,9,75,11,23,631,14
Khulna Range,2023-01-31,3,4,15,4,0,121,2,0,10,76,6,1,686,18
Khulna Range,2023-02-28,1,10,16,19,0,109,2,4,13,72,17,14,676,24
Khulna Range,2023-03-31,1,7,22,12,0,168,2,3,16,83,7,1,705,17
Khulna Range,2023-04-30,3,9,22,8,0,122,5,1,12,94,5,3,610,20
Khulna Range,2023-05-31,1,7,25,9,0,170,4,1,16,83,7,2,683,17
Khulna Range,2023-06-30,5,5,26,8,0,197,2,4,13,80,12,2,689,14
Khulna Range,2023-07-31,2,4,27,3,1,148,1,0,20,89,10,3,714,13
Khulna Range,2023-08-31,2,6,24,4,0,164,2,2,25,77,12,2,708,20
Khulna Range,2023-09-30,1,4,15,6,0,154,3,5,13,86,11,4,806,16
Khulna Range,2023-10-31,2,3,22,3,0,150,5,0,9,82,9,13,668,15
Khulna Range,2023-11-30,0,6,16,6,0,113,1,1,14,51,10,21,529,18
Khulna Range,2023-12-31,0,2,11,5,0,82,1,2,12,53,7,1,597,9
Khulna Range,2024-01-31,0,5,23,4,0,71,1,2,15,59,9,7,561,8
Khulna Range,2024-02-29,0,8,19,10,2,104,3,4,17,61,15,1,686,10
Khulna Range,2024-03-31,0,7,17,9,0,139,1,0,17,73,10,5,666,13
Khulna Range,2024-04-30,2,2,18,14,0,129,3,4,9,58,11,3,618,14
Khulna Range,2024-05-31,2,6,32,7,0,134,2,2,14,48,4,4,555,6
Khulna Range,2024-06-30,1,6,15,4,1,177,1,3,17,49,12,0,548,9
Khulna Range,2024-07-31,1,7,27,15,0,178,1,6,16,84,13,4,609,13
Khulna Range,2024-08-31,4,5,62,4,0,90,0,6,5,39,4,7,86,3
Khulna Range,2024-09-30,2,6,19,15,1,117,8,0,17,65,13,17,183,15
Khulna Range,2024-10-31,1,14,23,7,0,157,8,3,22,76,21,4,312,5
Khulna Range,2024-11-30,3,10,22,8,0,134,3,5,17,77,31,2,416,16
Khulna Range,2024-12-31,4,14,19,4,0,125,2,5,13,78,16,2,430,14
Khulna Range,2025-01-31,4,10,28,5,0,153,3,0,17,79,15,1,390,7
Khulna Range,2025-02-28,2,11,22,2,0,140,2,1,18,60,12,7,315,8
Khulna Range,2025-03-31,3,5,13,1,0,97,0,13,5,50,3,0,142,28
Khulna Range,2025-04-30,0,16,32,14,0,207,6,2,11,64,22,5,438,8
Khulna Range,2025-05-31,6,8,36,8,0,192,0,8,13,78,22,5,402,9
Khulna Range,2025-06-30,5,9,28,9,0,156,6,4,19,61,19,4,393,16
Kmp,2019-01-31,1,0,4,1,0,8,0,0,5,4,2,0,272,3
Kmp,2019-02-28,0,0,1,1,0,6,0,0,5,3,2,0,223,1
Kmp,2019-03-31,0,1,2,1,0,15,0,0,5,4,3,0,222,3
Kmp,2019-04-30,0,0,1,0,0,15,0,0,2,4,2,0,197,7
Kmp,2019-05-31,0,2,0,0,0,12,0,1,2,7,0,0,117,2
Kmp,2019-06-30,0,0,1,0,0,16,0,0,1,5,0,0,115,2
Kmp,2019-07-31,0,0,2,0,0,16,0,0,1,3,0,0,90,3
Kmp,2019-08-31,0,0,3,0,0,13,0,0,1,11,1,0,83,0
Kmp,2019-09-30,1,0,2,0,0,7,0,0,0,9,0,0,148,0
Kmp,2019-10-31,0,0,0,1,0,10,0,0,3,6,0,2,108,1
Kmp,2019-11-30,0,0,1,0,0,9,0,0,0,1,3,0,111,1
Kmp,2019-12-31,0,0,0,0,0,11,0,1,2,5,0,0,98,1
Kmp,2020-01-31,0,0,1,0,0,8,0,0,5,2,1,0,129,2
Kmp,2020-02-29,0,2,1,0,0,8,2,0,1,6,0,0,129,0
Kmp,2020-03-31,0,0,3,1,0,7,0,0,1,2,0,0,102,0
Kmp,2020-04-30,0,1,0,0,0,1,0,1,1,1,0,0,7,0
Kmp,2020-05-31,0,0,0,0,0,12,1,0,2,2,0,0,5,0
Kmp,2020-06-30,0,2,3,0,0,5,0,0,0,4,0,0,51,0
Kmp,2020-07-31,0,2,4,0,0,13,0,0,1,6,2,10,188,1
Kmp,2020-08-31,0,1,4,1,0,9,0,1,4,9,2,0,119,0
Kmp,2020-09-30,0,3,0,2,0,6,2,0,1,13,0,0,155,1
Kmp,2020-10-31,0,1,0,1,0,18,0,1,2,12,0,0,97,0
Kmp,2020-11-30,0,1,1,0,0,15,0,1,2,7,0,0,148,0
Kmp,2020-12-31,0,2,0,0,0,10,1,0,3,6,0,0,75,1
Kmp,2021-01-31,0,0,2,0,0,8,3,1,2,18,3,0,79,3
Kmp,2021-02-28,0,0,1,0,0,8,0,1,2,8,1,0,92,0
Kmp,2021-03-31,0,0,1,0,0,9,0,2,1,10,2,0,117,0
Kmp,2021-04-30,0,0,1,0,0,6,0,0,5,11,0,0,97,0
Kmp,2021-05-31,0,2,3,0,0,13,0,0,1,8,0,0,94,0
Kmp,2021-06-30,0,1,0,0,0,18,0,1,1,11,1,0,97,2
Kmp,2021-07-31,0,0,1,0,0,13,0,0,2,8,0,0,75,2
Kmp,2021-08-31,0,0,0,0,0,10,0,0,4,17,3,0,104,1
Kmp,2021-09-30,0,0,4,0,0,9,0,0,2,10,1,0,97,0
Kmp,2021-10-31,1,0,1,0,0,12,0,0,0,11,2,0,83,2
Kmp,2021-11-30,2,2,0,0,0,12,2,0,2,4,1,0,80,1
Kmp,2021-12-31,0,0,1,0,0,5,0,0,3,5,1,0,85,1
Kmp,2022-01-31,0,0,2,0,0,12,0,0,4,4,1,1,101,0
Kmp,2022-02-28,0,1,2,0,0,13,0,0,2,5,2,0,103,0
Kmp,2022-03-31,0,0,1,0,0,12,0,0,2,4,1,1,89,1
Kmp,2022-04-30,0,0,0,0,0,12,0,1,3,3,1,0,83,0
Kmp,2022-05-31,0,0,1,0,0,21,0,0,2,8,1,0,73,1
Kmp,2022-06-30,1,0,2,1,0,13,0,1,2,2,2,1,87,0
Kmp,2022-07-31,0,0,2,1,0,14,1,0,6,6,0,0,71,0
Kmp,2022-08-31,0,0,2,0,0,17,1,0,3,5,1,0,64,0
Kmp,2022-09-30,0,2,1,1,0,20,1,0,6,7,1,0,83,0
Kmp,2022-10-31,0,0,1,1,0,19,1,0,7,4,2,0,69,0
Kmp,2022-11-30,0,0,1,1,0,19,0,0,3,6,0,0,69,0
Kmp,2022-12-31,1,0,4,0,0,18,0,1,5,4,1,0,76,0
Kmp,2023-01-31,1,0,1,0,0,24,1,0,2,6,2,0,87,1
Kmp,2023-02-28,0,1,0,0,0,17,0,1,2,3,1,1,60,0
Kmp,2023-03-31,0,1,1,0,0,23,0,0,5,11,1,1,76,2
Kmp,2023-04-30,0,1,2,0,0,24,0,0,5,5,0,0,58,0
Kmp,2023-05-31,1,0,0,2,0,32,0,0,8,9,0,0,61,0
Kmp,2023-06-30,0,2,2,1,0,26,0,0,6,7,0,0,45,0
Kmp,2023-07-31,1,0,5,0,0,29,0,0,7,16,0,0,71,0
Kmp,2023-08-31,0,0,2,2,0,26,0,1,7,9,5,0,113,0
Kmp,2023-09-30,0,0,0,0,0,39,1,0,1,8,4,0,92,0
Kmp,2023-10-31,0,0,2,2,0,30,0,0,5,8,5,0,137,0
Kmp,2023-11-30,0,1,1,0,0,10,1,1,3,17,0,0,93,0
Kmp,2023-12-31,0,0,0,2,0,16,0,0,4,11,4,0,137,0
Kmp,2024-01-31,0,1,2,2,0,3,0,0,3,8,3,0,125,1
Kmp,2024-02-29,1,0,0,0,0,11,0,1,7,14,3,0,148,0
Kmp,2024-03-31,0,2,0,0,0,11,0,1,5,14,0,0,138,0
Kmp,2024-04-30,0,0,0,0,0,6,1,2,6,10,1,2,119,2
Kmp,2024-05-31,0,1,4,0,0,25,0,0,1,10,2,0,126,2
Kmp,2024-06-30,0,0,4,2,0,14,0,1,4,12,1,0,110,0
Kmp,2024-07-31,0,2,4,1,0,14,0,1,5,12,1,0,119,0
Kmp,2024-08-31,1,1,0,0,0,12,1,1,0,3,0,0,10,0
Kmp,2024-09-30,0,0,1,0,0,26,2,0,5,9,1,0,19,0
Kmp,2024-10-31,1,5,0,0,0,24,4,0,2,14,3,0,63,1
Kmp,2024-11-30,1,2,4,1,0,23,0,1,5,13,5,0,61,1
Kmp,2024-12-31,0,3,2,0,0,10,2,0,4,8,4,0,70,1
Kmp,2025-01-31,2,1,2,3,0,19,2,0,0,14,4,0,83,1
Kmp,2025-02-28,0,1,1,0,0,7,3,0,2,14,1,0,74,0
Kmp,2025-03-31,1,4,7,8,0,46,1,3,5,20,4,0,61,0
Kmp,2025-04-30,0,0,2,2,0,15,1,1,7,16,5,0,54,0
Kmp,2025-05-31,1,5,5,2,0,15,0,0,5,13,1,0,92,0
Kmp,2025-06-30,0,4,3,1,0,14,0,0,8,14,7,1,51,2
Mymensingh Range,2019-01-31,1,0,23,1,0,87,2,6,5,24,5,2,435,7
Mymensingh Range,2019-02-28,0,1,22,5,0,80,3,4,10,27,2,0,530,5
Mymensingh Range,2019-03-31,1,0,17,2,0,102,1,0,4,19,5,0,467,4
Mymensingh Range,2019-04-30,1,1,24,2,0,166,0,0,4,34,3,0,510,2
Mymensingh Range,2019-05-31,1,0,27,0,0,139,5,3,6,30,4,0,485,4
Mymensingh Range,2019-06-30,0,2,19,0,0,173,4,3,4,32,5,0,503,5
Mymensingh Range,2019-07-31,0,3,20,0,0,155,2,6,6,31,7,0,646,5
Mymensingh Range,2019-08-31,1,4,29,4,0,161,2,4,5,33,10,0,482,9
Mymensingh Range,2019-09-30,1,2,24,6,0,161,4,4,4,48,7,0,766,15
Mymensingh Range,2019-10-31,1,2,19,3,0,160,4,5,5,32,4,1,608,13
Mymensingh Range,2019-11-30,0,2,14,2,0,161,1,0,7,34,3,0,597,4
Mymensingh Range,2019-12-31,0,3,13,4,0,130,3,1,4,33,1,0,520,10
Mymensingh Range,2020-01-31,0,1,9,7,0,138,2,6,4,40,5,0,795,6
Mymensingh Range,2020-02-29,1,1,16,5,0,129,1,4,7,35,3,0,508,7
Mymensingh Range,2020-03-31,1,2,21,3,0,122,0,4,4,31,4,0,436,10
Mymensingh Range,2020-04-30,0,1,25,1,0,58,2,4,1,27,1,0,38,2
Mymensingh Range,2020-05-31,0,0,26,3,0,104,3,0,4,28,2,0,108,3
Mymensingh Range,2020-06-30,0,9,12,8,0,136,0,2,7,35,2,0,236,3
Mymensingh Range,2020-07-31,0,4,13,8,0,143,1,1,6,56,3,0,452,7
Mymensingh Range,2020-08-31,0,2,21,10,0,195,0,0,11,28,2,0,264,7
Mymensingh Range,2020-09-30,2,3,18,15,0,202,1,0,6,41,3,0,220,5
Mymensingh Range,2020-10-31,0,4,21,6,0,265,3,4,10,53,1,0,270,14
Mymensingh Range,2020-11-30,0,0,16,9,0,183,1,3,7,43,4,0,283,11
Mymensingh Range,2020-12-31,0,1,17,6,0,186,1,1,10,42,6,0,293,5
Mymensingh Range,2021-01-31,0,0,7,15,0,142,2,0,9,39,2,0,392,14
Mymensingh Range,2021-02-28,0,3,20,12,0,130,2,0,5,38,0,3,269,15
Mymensingh Range,2021-03-31,1,1,15,17,0,189,3,0,9,44,4,0,488,18
Mymensingh Range,2021-04-30,0,0,17,12,0,168,4,3,6,36,2,0,292,6
Mymensingh Range,2021-05-31,0,2,19,17,0,191,0,2,2,51,2,0,270,12
Mymensingh Range,2021-06-30,0,2,20,17,0,238,2,2,4,43,4,1,307,11
Mymensingh Range,2021-07-31,0,1,19,11,0,194,1,2,4,50,2,0,189,21
Mymensingh Range,2021-08-31,0,2,24,13,0,225,1,0,6,60,0,1,342,19
Mymensingh Range,2021-09-30,0,1,17,8,0,204,3,0,2,60,3,0,354,17
Mymensingh Range,2021-10-31,1,0,10,13,0,179,1,0,1,46,2,0,274,25
Mymensingh Range,2021-11-30,0,0,8,10,0,151,3,13,7,40,4,1,278,7
Mymensingh Range,2021-12-31,0,6,15,11,0,144,4,2,4,37,0,0,215,19
Mymensingh Range,2022-01-31,0,2,16,16,0,128,1,4,5,49,0,2,252,15
Mymensingh Range,2022-02-28,1,1,14,4,0,124,4,4,5,42,1,0,328,16
Mymensingh Range,2022-03-31,2,6,20,6,0,196,5,1,3,56,2,0,309,26
Mymensingh Range,2022-04-30,1,2,17,8,0,182,1,2,1,62,3,0,308,26
Mymensingh Range,2022-05-31,0,4,26,12,0,190,3,2,4,31,2,0,270,24
Mymensingh Range,2022-06-30,0,3,15,12,0,218,5,2,7,44,3,0,330,29
Mymensingh Range,2022-07-31,3,3,27,9,0,199,6,2,6,43,1,0,261,39
Mymensingh Range,2022-08-31,2,4,20,8,0,238,7,4,11,67,2,0,345,40
Mymensingh Range,2022-09-30,3,3,23,3,0,222,7,3,4,50,2,0,314,53
Mymensingh Range,2022-10-31,0,3,30,5,0,193,6,3,5,46,0,2,306,34
Mymensingh Range,2022-11-30,0,2,24,3,0,159,3,2,9,45,3,3,382,22
Mymensingh Range,2022-12-31,1,0,12,3,0,123,1,3,14,27,0,5,275,31
Mymensingh Range,2023-01-31,0,2,14,7,0,108,1,0,7,44,3,7,300,37
Mymensingh Range,2023-02-28,0,2,16,6,0,98,4,4,4,35,2,5,290,33
Mymensingh Range,2023-03-31,1,1,20,4,0,144,4,1,3,42,1,3,313,25
Mymensingh Range,2023-04-30,0,3,25,10,0,103,2,0,3,44,4,3,291,35
Mymensingh Range,2023-05-31,0,2,14,10,0,153,8,0,6,57,3,8,340,23
Mymensingh Range,2023-06-30,0,1,11,8,0,174,1,2,8,48,0,4,303,42
Mymensingh Range,2023-07-31,0,4,19,2,0,172,4,2,5,44,2,2,296,40
Mymensingh Range,2023-08-31,0,0,13,7,0,204,1,1,6,64,0,26,251,37
Mymensingh Range,2023-09-30,0,3,15,2,0,189,4,1,8,38,1,19,260,46
Mymensingh Range,2023-10-31,0,1,19,3,0,197,3,0,13,49,0,12,211,45
Mymensingh Range,2023-11-30,0,2,10,3,0,144,3,1,10,37,3,8,164,28
Mymensingh Range,2023-12-31,0,3,20,4,0,112,1,0,5,45,1,1,163,27
Mymensingh Range,2024-01-31,0,4,14,9,0,84,4,6,7,42,1,0,234,27
Mymensingh Range,2024-02-29,0,4,14,1,0,124,1,7,4,35,0,0,294,21
Mymensingh Range,2024-03-31,0,2,23,2,0,115,3,2,3,55,1,0,275,27
Mymensingh Range,2024-04-30,0,2,30,8,0,108,2,4,3,42,1,0,285,39
Mymensingh Range,2024-05-31,0,4,19,5,0,122,2,3,6,39,3,0,252,32
Mymensingh Range,2024-06-30,0,5,21,4,0,119,2,2,5,31,3,0,254,51
Mymensingh Range,2024-07-31,0,1,21,5,0,139,1,7,8,51,0,6,219,26
Mymensingh Range,2024-08-31,0,2,26,3,0,87,1,0,3,30,1,0,40,11
Mymensingh Range,2024-09-30,2,4,16,8,0,126,1,0,8,33,5,1,67,29
Mymensingh Range,2024-10-31,2,5,17,8,0,112,6,1,5,53,1,0,123,60
Mymensingh Range,2024-11-30,1,3,11,6,0,115,5,1,6,37,7,2,163,39
Mymensingh Range,2024-12-31,1,6,16,13,0,81,4,0,9,33,5,1,192,54
Mymensingh Range,2025-01-31,4,2,13,11,0,85,5,2,7,46,3,0,234,28
Mymensingh Range,2025-02-28,1,4,19,10,0,94,3,1,6,35,2,0,207,38
Mymensingh Range,2025-03-31,21,42,66,4,0,375,10,22,43,144,17,1,620,1
Mymensingh Range,2025-04-30,0,7,21,6,0,120,2,1,4,37,4,0,293,42
Mymensingh Range,2025-05-31,2,3,17,3,0,123,1,2,5,56,1,2,257,45
